doctor_name,Speciality,Availability,Ratings,Location
Dr. Ananya Desai,Infectious Diseases,"Monday, Friday",3.5,Mumbai
Dr. Rohan Patel,Endocrinology,"Monday, Wednesday",4.7,Delhi
Dr. Sneha Singh,Allergy and Immunology,"Tuesday, Thursday",4.9,Bangalore
Dr. Akash Sharma,Neurology,"Wednesday, Friday",4.5,Kolkata
Dr. Pooja Reddy,Cardiology,"Monday,Tuesday",4.7,Chennai
Dr. Aryan Kapoor,Pulmonology,"Tuesday, Wednesday",4,Hyderabad
Dr. Kavita Mehta,Gastroenterology,"Wednesday, Thursday",4.1,Pune
Dr. Vikram Choudhary,Rheumatology,"Monday, Thursday",3.7,Ahmedabad
Dr. Neha Gupta,Oncology,"Tuesday, Thursday",3.2,Jaipur
Dr. Rahul Malhotra,Nephrology,"Friday, Tuesday",3.6,Surat
Dr. Nisha Shah,Urology,"Thursday, Friday",3,Lucknow
Dr. Arjun Kumar,Dermatology,"Tuesday, Thursday",4.9,Kanpur
Dr. Priya Joshi,Psychiatry/Psychology,"Wednesday, Friday",4.9,Nagpur
Dr. Siddharth Trivedi,Ophthalmology,"Monday,Tuesday",4.3,Visakhapatnam
Dr. Shreya Banerjee,Gynecology/Obstetrics,"Tuesday, Wednesday",3.7,Indore
Dr. Aditya Sharma,Orthopedics,"Monday, Wednesday",4.8,Thane
Dr. Anjali Verma,Hematology,"Tuesday, Thursday",4.1,Bhopal
Dr. Rajat Singh,Andrology,"Monday, Thursday",3.3,Patna
Dr. Meera Krishnan,Gynecological Oncology,"Tuesday, Thursday",4.8,Vadodara
Dr. Karan Khanna,Gastrointestinal Surgery,"Friday, Tuesday",5,Ghaziabad
Dr. Swati Chatterjee,ENT Specialist,"Thursday, Friday",4.8,Ludhiana
Dr. Varun Mehra,General Practitioner/Family Medicine Physician,"Wednesday, Friday",4,Agra
Dr. Ritu Ahuja,Acupuncturist,"Monday,Tuesday",3.5,Nashik
Dr. Tarun Das,Physiatrist,"Tuesday, Wednesday",3.9,Faridabad
Dr. Devika Nair,Chiropractor,"Wednesday, Thursday",4.5,Meerut
Dr. Abhishek Rao,Pain Management Specialist,"Friday, Tuesday",5,Mumbai
Dr. Tanvi Mishra,Allergist,"Thursday, Friday",3.9,Delhi
Dr. Arnav Gupta,Dermatologist,"Tuesday, Thursday",4.9,Bangalore
Dr. Anushka Singh,Pediatric Dermatologist,"Wednesday, Friday",4.1,Kolkata
Dr. Harshita Jain,Rheumatologist,"Monday,Tuesday",4.2,Chennai
Dr. Yash Kapoor,Physician Assistant,"Tuesday, Wednesday",4.8,Hyderabad
Dr. Akanksha Sharma,Family Nurse Practitioner,"Monday, Wednesday",3.5,Pune
Dr. Rajeev Reddy,Family Physician,"Tuesday, Thursday",3.2,Ahmedabad
Dr. Anika Verma,Internist,"Monday, Thursday",3.7,Surat
Dr. Siddharth Mehra,Surgeon,"Tuesday, Thursday",3.6,Jaipur
Dr. Priyanka Chaudhary,"Ear, Nose & Throat Doctor","Monday, Friday",3.1,Lucknow
Dr. Rohit Kumar,Pulmonologist,"Monday, Wednesday",4.6,Kanpur
Dr. Anjali Saxena,Adult Nurse Practitioner,"Tuesday, Thursday",3.7,Nagpur
Dr. Vishal Patel,Nurse Practitioner,"Wednesday, Friday",4.1,Visakhapatnam
Dr. Kritika Sharma,Facial Plastic & Reconstructive Surgeon,"Monday,Tuesday",4.8,Indore
Dr. Aditi Gupta,Sinus Surgeon / Rhinologist,"Tuesday, Wednesday",4.4,Thane
Dr. Mohit Singh,Primary Care Doctor,"Tuesday, Thursday",3.5,Bhopal
Dr. Shivani Desai,Addiction Specialist,"Wednesday, Friday",3.2,Patna
Dr. Aman Verma,Audiologist,"Monday,Tuesday",4.6,Vadodara
Dr. Natasha Chawla,Pediatric Otolaryngologist,"Tuesday, Wednesday",3.5,Ghaziabad
Dr. Prateek Kapoor,Infectious Disease Specialist,"Tuesday, Thursday",3.7,Ludhiana
Dr. Shweta Reddy,Urgent Care Specialist,"Monday, Thursday",4.8,Agra
Dr. Rohan Mehta,Head & Neck Surgeon,"Tuesday, Thursday",3.2,Nashik
Dr. Divya Sinha,Pediatrician,"Friday, Tuesday",4.2,Faridabad
Dr. Sameer Joshi,Cardiologist,"Thursday, Friday",4.5,Meerut
Dr. Ananya Sharma,Interventional Cardiologist,"Wednesday, Friday",4.9,Rajkot
Dr. Kartik Patel,Pediatric Cardiologist,"Monday,Tuesday",4.1,Varanasi
Dr. Nandini Kapoor,Nephrologist,"Tuesday, Wednesday",3.6,Srinagar
Dr. Sahil Choudhary,Dentist,"Wednesday, Thursday",3.5,Aurangabad
Dr. Riya Singh,Dietitian,"Friday, Tuesday",4.2,Dhanbad
Dr. Anand Gupta,Psychiatrist,"Monday,Tuesday",3.6,Amritsar
Dr. Ishita Mehra,Nutritionist,"Tuesday, Wednesday",3.5,Navi Mumbai
Dr. Karan Khurana,Endocrinologist,"Wednesday, Thursday",3.8,Allahabad
Dr. Natasha Singh,Family Psychiatric & Mental Health Nurse Practitioner,"Friday, Tuesday",3.9,Ranchi
Dr. Ravi Verma,Bariatric Surgeon,"Thursday, Friday",4.5,Howrah
Dr. Ayesha Khan,Child and Adolescent Psychiatrist,"Tuesday, Thursday",4.9,Jabalpur
Dr. Arjun Chatterjee,Gastroenterologist,"Wednesday, Friday",4.2,Gwalior
Dr. Anjali Sharma,OB-GYN,"Tuesday, Thursday",4.3,Vijayawada
Dr. Manish Kumar,Neurologist,"Monday, Friday",5,Jodhpur
Dr. Ritika Jain,Psychosomatic Medicine Specialist,"Monday, Wednesday",4.2,Raipur
Dr. Rohit Shah,Forensic Psychiatrist,"Tuesday, Thursday",4.5,Kota
Dr. Aarti Sharma,Neuro-Otologist,"Wednesday, Friday",4.7,Guwahati
Dr. Aditya Patel,Emergency Medicine Physician,"Monday,Tuesday",4.9,Chandigarh
Dr. Niharika Reddy,Pediatric Emergency Medicine Specialist,"Monday,Tuesday",3.7,Solapur
Dr. Deepak Mehra,Nuclear Medicine Specialist,"Tuesday, Wednesday",3.9,Hubballi-Dharwad
Dr. Sonali Desai,Endodontist,"Wednesday, Thursday",3.2,Bareilly
Dr. Rohan Verma,Periodontist,"Friday, Tuesday",3.8,Moradabad
Dr. Preeti Singh,Prosthodontist,"Monday,Tuesday",3,Mysore
Dr. Rishabh Kapoor,Pediatric Dentist,"Tuesday, Wednesday",3.9,Gurgaon
Dr. Akanksha Mehra,Optometrist,"Monday, Thursday",3,Aligarh
Dr. Rohit Desai,Cornea & External Diseases Specialist,"Tuesday, Thursday",4.1,Jalandhar
Dr. Neha Gupta,Refractive Surgeon,"Friday, Tuesday",3.7,Tiruchirappalli
Dr. Ankit Sharma,Oculoplastic Surgeon,"Thursday, Friday",4.9,Bhubaneswar
Dr. Shivani Singh,Pediatric / Strabismus Eye Doctor,"Tuesday, Thursday",3.6,Salem
Dr. Siddharth Patel,Retina Specialist (Medical),"Wednesday, Friday",3.2,Warangal
Dr. Anushka Reddy,Neuro-Ophthalmologist,"Monday,Tuesday",3.8,Cuttack
Dr. Pranav Choudhary,Glaucoma Specialist,"Tuesday, Wednesday",4.7,Ajmer
Dr. Riya Mehra,Adult Psychiatric & Mental Health Nurse Practitioner,"Monday,Tuesday",4.3,Bhavnagar
Dr. Nikhil Kapoor,Women's Health Nurse Practitioner,"Tuesday, Wednesday",5,Bhiwandi
Dr. Sanya Singh,Hand Surgeon,"Wednesday, Thursday",3.3,Saharanpur
Dr. Aditi Mehta,Orthopedic Surgeon,"Friday, Tuesday",4.3,Gorakhpur
Dr. Rohit Verma,Spine Specialist,"Thursday, Friday",3.4,Bikaner
Dr. Kavya Patel,Occupational Therapist,"Tuesday, Thursday",3.5,Amravati
Dr. Vikas Gupta,Physical Therapist,"Monday, Wednesday",4.7,Noida
Dr. Natasha Sharma,Sports Medicine Specialist,"Tuesday, Thursday",3.7,Jamshedpur
Dr. Rahul Singh,Hematologist,"Wednesday, Friday",4.8,Bhilai
Dr. Naina Kapoor,Oncologist,"Monday,Tuesday",3.8,Cuttack
Dr. Abhay Chatterjee,Diagnostic Radiologist,"Tuesday, Wednesday",3.8,Kochi
Dr. Anjali Mehra,Pediatric Nurse Practitioner,"Wednesday, Thursday",4.3,Thiruvananthapuram
Dr. Akash Gupta,Psychologist,"Wednesday, Friday",3,Durgapur
Dr. Shruti Singh,Reproductive Endocrinologist,"Monday,Tuesday",5,Asansol
Dr. Aman Kapoor,Gynecologist,"Monday,Tuesday",4.4,Nanded
Dr. Priyanka Patel,Urological Surgeon,"Tuesday, Wednesday",3.9,Kolhapur
Dr. Rohan Reddy,Urologist,"Wednesday, Thursday",3.2,Dehradun
Dr. Sneha Sharma,Neurosurgeon,"Friday, Tuesday",3.9,Gulbarga
Dr. Karthik Patel,Sleep Medicine Specialist,"Monday,Tuesday",3.4,Jamnagar
Dr. Aishwarya Singh,Midwife,"Tuesday, Wednesday",4.4,Ujjain
Dr. Sameer Mehta,Radiation Oncologist,"Monday, Thursday",4.1,Siliguri
Dr. Tanvi Verma,Oral Surgeon,"Tuesday, Thursday",3.6,Jhansi
Dr. Arjun Mehra,Orthodontist,"Friday, Tuesday",3.4,Durg-Bhilai Nagar
Dr. Ananya Singh,Pediatric Sports Medicine Specialist,"Thursday, Friday",4,Tirupur
Dr. Rahul Desai,Geriatrician,"Wednesday, Friday",4.3,Guntur
Dr. Kritika Kapoor,Plastic Surgeon,"Monday,Tuesday",4.7,Gorakhpur
Dr. Rohit Sharma,Laryngologist,"Tuesday, Wednesday",3.2,Saharanpur
Dr. Anjali Patel,Podiatrist,"Wednesday, Thursday",4.8,Bhatpara
Dr. Aditya Singh,Foot & Ankle Specialist,"Friday, Tuesday",4,Bhilwara
Dr. Nisha Mehra,Psychotherapist,"Thursday, Friday",3.4,Kakinada
Dr. Vikrant Sharma,Pulmonary Diseases and Critical Care Medicine Specialist,"Tuesday, Thursday",3.3,Davanagere
Dr. Priya Chatterjee,Pediatric Orthopedic Surgeon,"Wednesday, Friday",4.3,Kozhikode
Dr. Arjun Verma,Hand & Microsurgery Specialist,"Monday,Tuesday",4.7,Maheshtala
Dr. Shruti Reddy,Hip and Knee Surgeon,"Wednesday, Friday",3.5,Rajpur Sonarpur
Dr. Karan Kapoor,Anesthesiologist,"Monday,Tuesday",4.4,Rajahmundry
Dr. Pooja Sharma,Radiologist,"Tuesday, Wednesday",3.5,Bokaro Steel City
Dr. Rohan Choudhary,Shoulder & Elbow Surgeon,"Wednesday, Thursday",3.3,South Dumdum
Dr. Shivani Verma,Clinical Neurophysiologist,"Monday, Thursday",3.2,Bellary
Dr. Sahil Singh,Colorectal Surgeon,"Tuesday, Thursday",3.3,Patiala
Dr. Anushka Mehra,Vascular Surgeon,"Friday, Tuesday",4.2,Gopalpur
Dr. Nikhil Chatterjee,Travel Medicine Specialist,"Thursday, Friday",3.1,Agartala
Dr. Nandini Singh,Gynecologist,"Tuesday, Thursday",3.2,Muzaffarnagar
Dr. Rohit Mehta,Urological Surgeon,"Wednesday, Friday",3.8,Latur
Dr. Aarti Kapoor,Midwife,"Monday,Tuesday",3.2,Hyderabad
Dr. Aditya Verma,Pediatric Dentist,"Tuesday, Wednesday",4.2,Pune
Dr. Natasha Mehra,Allergist,"Tuesday, Thursday",3.3,Ahmedabad
Dr. Ravi Singh,Psychotherapist,"Monday, Thursday",3.6,Jaipur
Dr. Ishita Choudhary,Neurosurgeon,"Tuesday, Thursday",3.1,Surat
Dr. Kartik Mehra,Travel Medicine Specialist,"Friday, Tuesday",3.4,Lucknow
Dr. Tanvi Singh,Pediatric Otolaryngologist,"Thursday, Friday",4.2,Kanpur
Dr. Arjun Sharma,Psychotherapist,"Wednesday, Friday",3.7,Ahmedabad
Dr. Ananya Mehra,Infectious Disease Specialist,"Monday,Tuesday",4.5,Surat
Dr. Rahul Choudhary,Nutritionist,"Tuesday, Wednesday",3.8,Jaipur
Dr. Kritika Mehra,Periodontist,"Wednesday, Friday",4,Lucknow
Dr. Rishabh Chatterjee,Primary Care Doctor,"Monday,Tuesday",3.8,Kanpur
Dr. Sneha Mehra,Psychiatrist,"Monday,Tuesday",3.5,Nagpur
Dr. Rohan Sharma,Retina Specialist (Medical),"Tuesday, Wednesday",3,Visakhapatnam
Dr. Priyanka Mehra,Geriatrician,"Wednesday, Thursday",5,Indore
Dr. Aman Chatterjee,Vascular Surgeon,"Friday, Tuesday",3.6,Thane
Dr. Anjali Singh,Pediatric Otolaryngologist,"Monday,Tuesday",3.3,Ludhiana
Dr. Aditya Mehra,Pediatric Cardiologist,"Tuesday, Wednesday",4.9,Vijayawada
